OBJECTID,SEGID,FAC_WDAVG,aadtAdjFactor,M2019,M2023,M2028,M2032,M2042,M2050,MF2019,MF2023,MF2028,MF2032,MF2042,MF2050,CO_NAME,PLANAREA,AADT2019,ADJ2019,ADJ2023,ADJ2028,ADJ2032,ADJ2042,ADJ2050,NOTES,FL_NOREV,FL_LTPRV,FL_ZERO,OV_NOREV,OV_LTPRV,OV_ZERO,FL_HIADJ,OV_HIADJ,FL_50LT19,OV_50LT19,FL_503X19,OV_503X19,Shape__Length,GlobalID,CreationDate,Creator,EditDate,Editor
24,0006_146.9,0.984,-18,1535,1671,1738,1892,2120,2409,1500,1700,1700,1900,2100,2400,UTAH,MAG,1517,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,6373.23599497998,5cee2ab1-1c81-452e-81a0-61321519f9ee,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
25,0006_149.9,0.984,856,1585,1799,2012,2075,2652,5357,2400,2700,2900,2900,3500,6200,UTAH,MAG,2441,0,0,0,0,0,0, ,0,0,0,0,0,0,1,0,0,0,0,0,1421.83301655553,a1953d18-d3a3-4287-b652-50d48c0f9748,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
26,0006_150.6,0.984,657,1784,1989,2209,2281,2891,5598,2400,2600,2900,2900,3500,6300,UTAH,MAG,2441,0,0,0,0,0,0, ,0,0,0,0,0,0,1,0,0,0,0,0,4137.93923677616,d713765c-4ad2-419b-9cc6-8b96d3c20d76,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
27,0006_152.6,0.984,-119,2536,2719,2988,3080,3756,6225,2400,2600,2900,3000,3600,6100,UTAH,MAG,2417,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,663.311776810794,80d0e417-0218-48b9-a975-d515b99c1fd1,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
28,0006_152.9,0.9593,-124,3883,4230,4700,4991,5675,8072,3800,4100,4600,4900,5600,7900,UTAH,MAG,3759,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,6136.82469224841,3b17a434-415d-416f-ba4a-94f30356e086,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
29,0006_155.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,MAG,3759,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,423.843569913577,c6abcb04-fe7d-4826-9f5e-dc0fc0a04a1e,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
30,0006_155.9,0.9593,1832,3147,3561,3886,4188,5135,7096,5000,5400,5700,6000,7000,8900,UTAH,MAG,4979,0,0,0,0,0,0, ,0,0,0,0,0,0,1,0,0,0,0,0,2763.62105557339,51316884-898e-4601-8fcc-1d04742c010b,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
31,0006_157.3,0.9593,1058,3921,4532,5480,6215,8330,10750,5000,5600,6500,7300,9400,12000,UTAH,MAG,4979,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,524.249982233037,ad8d5670-c79f-41ca-99cc-3e9675e9f5b8,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
32,0006_157.6,0.9593,658,4321,5095,6092,6814,9091,11426,5000,5800,6800,7500,9700,12000,UTAH,MAG,4979,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1928.03909731576,a9ffbb71-40b8-4208-8460-270991ce9af4,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
33,0006_158.5,1.0918,741,4238,6517,7823,9034,13586,12854,5000,7300,8600,9800,14500,13500,UTAH,MAG,4979,0,0,0,0,0,0, ,0,1,0,0,0,0,0,0,0,0,0,0,2375.34279355055,693de2aa-8a5e-47f3-ba0c-d8ee0099671b,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
34,0006_159.6,1.0924,-857,7566,9832,11680,12773,18835,18963,6700,9000,11000,12000,18000,18000,UTAH,MAG,6709,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,474.403382690047,41711e1a-6614-4528-a653-fa9d185f0315,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
35,0006_159.8,1.0924,4240,8416,12005,13170,14218,19196,19559,12500,16000,17500,18500,23500,24000,UTAH,MAG,12656,0,0,0,0,0,0, ,0,0,0,0,0,0,1,0,0,0,0,0,934.242349066769,572dcc88-e024-46bc-80b4-c60b434a3728,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
36,0006_160.3,1.0918,7083,11822,15645,17331,18676,24358,25075,19000,22500,24500,26000,31500,32000,UTAH,MAG,18905,0,0,0,0,0,0, ,0,0,0,0,0,0,1,0,0,0,0,0,522.554232431242,098e61b1-2d19-45c9-9899-e4144e351409,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
37,0006_173.4,1.0946,-11075,45763,50956,55599,60544,68254,70875,34500,40000,44500,49500,57000,60000,UTAH,MAG,34688,0,0,0,0,0,0, ,0,0,0,0,0,0,1,0,0,0,0,0,940.051435789378,5d95f2c3-60a9-44f3-8303-142e86b98635,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
38,0006_173.7,1.0946,-7712,42400,42439,46504,49575,58552,60000,34500,34500,39000,42000,51000,52500,UTAH,MAG,34688,0,0,0,0,0,0, ,0,1,0,0,0,0,0,0,0,0,0,0,569.763806077198,e4909881-ccb7-411f-ae32-820208ac552e,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
39,0006_174.0,1.0924,438,31349,32980,36372,38518,49862,51804,32000,33500,37000,39000,50500,52000,UTAH,MAG,31787,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,923.35937648857,adcc316e-cee0-4fc5-9dc4-4795a9747f2d,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
40,0006_174.4,1.0924,438,31349,32980,36372,38518,48094,50090,32000,33500,37000,39000,48500,50500,UTAH,MAG,31787,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,916.143259386781,7921e079-d4f6-4d72-8986-2a476636560e,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
41,0006_174.9,1.0924,5027,19471,21587,24859,26688,39639,40079,24500,26500,30000,31500,44500,45000,UTAH,MAG,24498,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1472.93553702638,79f7b781-baa7-4bd9-9e6f-c39f4bdde4c0,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
42,0006_175.6,1.0924,5027,19471,21587,21051,22532,29271,30385,24500,26500,26000,27500,34500,35500,UTAH,MAG,24498,0,0,0,0,0,0, ,0,1,0,0,0,0,0,0,0,0,0,0,1160.01428356961,55abde99-2e0c-4cd6-9e1b-9fe5c9cb03d6,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
43,0006_176.1,1.0924,12123,12375,13822,15331,16329,19087,21654,24500,26000,27500,28500,31000,34000,UTAH,MAG,24498,0,0,0,0,0,0, ,0,0,0,0,0,0,1,0,0,0,0,0,1894.68854212384,110e5978-1594-481e-8946-49139021fc2d,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
44,0006_177.0,1.0924,9632,14866,16365,17890,19104,21489,25044,24500,26000,27500,28500,31000,34500,UTAH,MAG,24498,0,0,0,0,0,0, ,0,0,0,0,0,0,1,0,0,0,0,0,408.183501431462,351f61c0-548f-40ce-b491-78e38037d894,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
45,0006_177.2,1.0924,-1330,14496,16809,18304,19338,22216,26029,13000,15500,17000,18000,21000,24500,UTAH,MAG,13166,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,667.3882847454,b3eb4b2e-4541-4b53-869c-569729bc6545,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
46,0006_177.5,1.0918,2321,10845,12563,13376,14415,17481,22159,13000,15000,15500,16500,20000,24500,UTAH,MAG,13166,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,911.234809432325,aa18442d-3bcc-4058-8ad8-274536ad2d9c,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
47,0006_177.9,1.0918,242,11807,12759,13246,14078,15505,17532,12000,13000,13500,14500,15500,18000,UTAH,MAG,12049,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1898.22462192014,c4a397e2-c5bc-48e9-ba5e-3ef6dd0dbd53,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
48,0006_178.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,12049,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,5807.59804054243,72006c89-af46-48ff-b860-a4066adc563d,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
49,0006_181.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,12049,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,5280.68094626635,50122832-c92c-448c-ae7d-a7f0078d498e,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
50,0006_184.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,12049,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,7064.65558923368,243bb68d-a64f-44ac-911d-bb443669481b,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
51,0006_187.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,9477,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,3870.94236156899,4406db92-c8fd-4c7c-81e9-240696f5fc62,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
52,0006_189.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,9477,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,9874.25240220504,1272782d-351f-4895-a1d4-9eee7dea1762,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
53,0006_194.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,9477,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1613.05242736572,b05100cd-16c4-4596-8bc2-d6bd01ba0fdc,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
54,0006_194.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,9407,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,474.501438321087,548e1fd7-c95e-4699-b981-9d7c77e18ea1,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
55,0006_195.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,9407,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,4218.30704937597,5d938d64-d545-4102-b8e0-37d97759b41c,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
56,0006_197.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,9407,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,13850.3582214894,79386834-74ad-4fa2-9e55-31ee5f187ddf,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
57,0006_203.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,9407,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,15834.2025272317,a15a0130-0183-4339-96a1-90f45558648c,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
58,0006_211.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,9214,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,10555.0495247983,d656806c-fd6a-4b4b-b614-7d610f1efbef,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
59,0006_216.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,8033,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,10253.6844197594,9b50a571-1011-4ab8-893f-922de7a8ff73,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
60,0006_221.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,8033,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,2140.28587340764,4223b8f8-c680-4355-bce4-ef521e399c29,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
61,0006_222.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,8033,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,4612.12223004808,ad30a0de-067d-4d83-bc66-bac46878eaa5,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
62,0006_224.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,8033,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,11938.411320566,482518a6-454a-4e41-9b0c-29269afaf13f,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
63,0006_230.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,10329,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,3630.54057131507,3f8e5dde-dd08-4a02-bd11-09cf3dfd1a53,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
64,0006_231.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,10329,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1433.25042472575,cec83644-b606-49ed-b537-700a3ca7caf2,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
65,0006_232.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,10329,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,286.126844625964,106f818a-648f-4247-95ea-e7c9192c24ad,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
66,0006_232.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,9760,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,328.913728102414,32f69aeb-7eda-4986-92b5-eabdf173acc8,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
67,0006_232.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,13962,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1399.30381632034,2688a167-8933-4f44-81c8-3a192900eaf2,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
68,0006_233.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,14215,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,4484.42229201492,f5da3566-68b4-4e3e-abd0-dc6e6f987773,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
69,0006_235.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,14215,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,772.774895707586,4c1c1b3f-b5f9-4393-b679-beb5b0b43ef0,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
70,0006_235.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,13017,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,895.105717113654,ab3a21dd-cc57-4a51-9c98-66f4769c2e1e,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
71,0006_236.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,12915,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,6907.32941921825,f10140fc-05c3-44e3-be4d-b4adfb9c7227,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
72,0006_239.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,12915,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,782.323389462066,9878527f-545c-4871-8b9d-f47c67d327fc,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
73,0006_239.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,11840,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,2601.9171603779,a7cf8fcd-4b7c-4cd3-9b61-57175eb00569,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
74,0006_241.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,13054,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,2742.76570998172,276d9030-b16f-44bf-8c35-71dfa23cc08c,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
75,0006_242.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,10860,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1774.4360368214,506decfc-1f64-4ecc-b11d-4f6328f0ec30,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
76,0006_243.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,10860,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,6691.59673938188,77093d7d-07fc-41d5-8f25-bcb97f293fd6,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
77,0006_246.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,9034,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,686.746515019354,630f832b-a30c-474b-b0ce-ab75ccf13405,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
78,0006_246.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,9034,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,174.660966965594,a715b88e-6f6f-4800-a988-62e3eff2b976,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
79,0006_246.94,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,9034,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,4557.03432230272,f5d0113d-0125-4c98-b9dd-e7cd519aa656,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
80,0006_249.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,9034,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,545.039599154288,dad3b62d-1580-41cd-9278-229fc227fba5,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
81,0006_249.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,7515,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,13960.0200173257,a30c57e3-4fc1-460b-9c4d-f5db5b43e756,1693520818803,bhereth_wfrcgis,1693520818803,bhereth_wfrcgis
