OBJECTID,SEGID,FAC_WDAVG,aadtAdjFactor,M2019,M2023,M2028,M2032,M2042,M2050,MF2019,MF2023,MF2028,MF2032,MF2042,MF2050,CO_NAME,PLANAREA,AADT2019,ADJHIST,NOTES_FURREV,ADJ2019,ADJ2023,ADJ2028,ADJ2032,ADJ2042,ADJ2050,NOTES,FL_REV,OV_REV,FL_LTPRV,OV_LTPRV,FL_ZERO,OV_ZERO,FL_HIADJ,OV_HIADJ,FL_50LT19,OV_50LT19,FL_503X19,OV_503X19,FL_FURREV,OV_FURREV,CreationDate,Creator,EditDate,Editor,Shape__Length,GlobalID
32,0006_157.6,0.9593,658,4321,5095,6092,6814,9091,11426,5000,5800,6800,7500,9700,12000,UTAH,MAG,4979,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,1928.03909731576,0f9aa488-22bb-4708-b8c4-6d64225526cf
33,0006_158.5,1.0918,741,4238,6517,7823,9034,13586,12854,5000,7300,8600,9800,14500,13500,UTAH,MAG,4979,0,,0,0,0,0,0,0, ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,2375.34279355055,f99dcb73-22a6-4191-9d68-ca98beecc4a5
34,0006_159.6,1.0924,-857,7566,9832,11680,12773,18835,18963,6700,9000,11000,12000,18000,18000,UTAH,MAG,6709,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,474.403382690047,0f9707e9-360f-48b2-97cd-00de000f580d
35,0006_159.8,1.0924,4240,8416,12005,13170,14218,19196,19559,12500,16000,17500,18500,23500,24000,UTAH,MAG,12656,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,934.242349066769,cf7e591f-dc85-49fd-891b-62a680e0689a
36,0006_160.3,1.0918,7083,11822,15645,17331,18676,24358,25075,19000,22500,24500,26000,31500,32000,UTAH,MAG,18905,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,522.554232431242,a4499bb2-4f4d-4af9-9076-9d158cd0a61b
37,0006_173.4,1.0946,-11075,45763,50956,55599,60544,68254,70875,34500,40000,44500,49500,57000,60000,UTAH,MAG,34688,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,940.051435789378,2aae742b-19a2-4df6-b1fc-6d53b98bb9bc
38,0006_173.7,1.0946,-7712,42400,42439,46504,49575,58552,60000,34500,34500,39000,42000,51000,52500,UTAH,MAG,34688,0,,0,0,0,0,0,0, ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,569.763806077198,a01115dc-1465-4a14-9013-e248e22b7040
39,0006_174.0,1.0924,438,31349,32980,36372,38518,49862,51804,32000,33500,37000,39000,50500,52000,UTAH,MAG,31787,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,923.35937648857,5ee470bc-b63b-4299-bc16-e594611d0403
40,0006_174.4,1.0924,438,31349,32980,36372,38518,48094,50090,32000,33500,37000,39000,48500,50500,UTAH,MAG,31787,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,916.143259386781,eabe0026-dc53-4944-a41a-5cad8f5cad9b
41,0006_174.9,1.0924,5027,19471,21587,24859,26688,39639,40079,24500,26500,30000,31500,44500,45000,UTAH,MAG,24498,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,1472.93553702638,dd905d65-1b23-42e3-8e3e-3cda9df0c9ac
42,0006_175.6,1.0924,5027,19471,21587,21051,22532,29271,30385,24500,26500,26000,27500,34500,35500,UTAH,MAG,24498,0,,0,0,0,0,0,0, ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,1160.01428356961,85a91ae2-bae4-40ac-8136-df13cc0c237b
43,0006_176.1,1.0924,12123,12375,13822,15331,16329,19087,21654,24500,26000,27500,28500,31000,34000,UTAH,MAG,24498,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,1894.68854212384,2b3ba1df-4566-4275-8b73-839fdc770136
44,0006_177.0,1.0924,9632,14866,16365,17890,19104,21489,25044,24500,26000,27500,28500,31000,34500,UTAH,MAG,24498,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,408.183501431462,ef452b86-0450-4ace-9b07-e37ddb19d681
45,0006_177.2,1.0924,-1330,14496,16809,18304,19338,22216,26029,13000,15500,17000,18000,21000,24500,UTAH,MAG,13166,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,667.3882847454,3c042216-9e04-435b-b29a-6f4dc9895140
46,0006_177.5,1.0918,2321,10845,12563,13376,14415,17481,22159,13000,15000,15500,16500,20000,24500,UTAH,MAG,13166,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,911.234809432325,98c0ac28-104c-49ce-a712-83e8ad1a9af8
47,0006_177.9,1.0918,242,11807,12759,13246,14078,15505,17532,12000,13000,13500,14500,15500,18000,UTAH,MAG,12049,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,1898.22462192014,f2282dd4-a253-40e3-bf48-e309a0c020eb
48,0006_178.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,12049,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,5807.59804054243,61c13ab4-8762-45af-bb42-5a34cfb2d815
49,0006_181.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,12049,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,5280.68094626635,221fe69a-b6c4-4ecd-851d-3ed187c1d812
50,0006_184.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,12049,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,7064.65558923368,98fc7de6-7dda-4bad-a493-4cd10f3b25bc
51,0006_187.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,9477,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,3870.94236156899,94754f3e-f430-4315-b0f2-056675714f87
52,0006_189.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,9477,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,9874.25240220504,b04322f2-fb80-4894-89c0-4e7e3c1e5093
53,0006_194.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,9477,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,1613.05242736572,a4468d05-7ff0-45ab-b8a5-8c57ab4f4d93
54,0006_194.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,9407,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,474.501438321087,694c7460-9b6f-4a55-b995-a1c9ba119d8e
55,0006_195.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,9407,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,4218.30704937597,a1a67a50-7e76-483c-9572-46bee26f569e
56,0006_197.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,9407,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,13850.3582214894,6aedb02a-5ada-4db5-ade1-e2f545fb3554
57,0006_203.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,9407,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,15834.2025272317,01921f4d-be73-43f2-844f-ddb0b07cc43d
58,0006_211.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,9214,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,10555.0495247983,34044c99-d6ff-457e-aad7-983f6c2d8304
59,0006_216.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,8033,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,10253.6844197594,05e520fe-8cd5-4cdd-a7b3-7c3307112d51
60,0006_221.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,8033,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,2140.28587340764,825ed429-cf99-4c17-ad1a-65ce32d43b93
61,0006_222.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,8033,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,4612.12223004808,d5d8e595-cc66-4ded-9fa7-58e46530bc78
62,0006_224.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,8033,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,11938.411320566,305a77d1-9734-4a07-bdc0-f1c74c160735
63,0006_230.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,10329,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,3630.54057131507,d2656ab8-a179-4a38-85bf-37d9c8d4322b
64,0006_231.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,10329,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,1433.25042472575,52de08f7-2ecc-496b-ba04-468b9d9ab418
65,0006_232.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,10329,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,286.126844625964,a58e3af6-f4f5-4f12-b590-0b57e7b464a3
66,0006_232.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,9760,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,328.913728102414,aee7fc91-437e-4db2-9e96-9473d2580ac1
67,0006_232.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,13962,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,1399.30381632034,8d8c9b6a-7158-4cb6-bb46-f65dc2bee3fd
68,0006_233.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,14215,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,4484.42229201492,487209b6-b28f-4006-adcd-58e0f95e3f79
69,0006_235.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,14215,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,772.774895707586,3e18ef65-ef10-4867-90cf-6be549c50f19
70,0006_235.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,13017,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,895.105717113654,0e2c7342-c1b7-4323-a877-2ad666273130
71,0006_236.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,12915,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,6907.32941921825,6a37ba3f-6263-490a-b23d-ba348601f92b
72,0006_239.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,12915,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,782.323389462066,5a659c30-1b85-4496-9bbc-c36b88613c88
73,0006_239.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,11840,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,2601.9171603779,8f3bcab6-569b-4850-b34a-4ff7f21d8d4f
74,0006_241.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,13054,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,2742.76570998172,beb42f1c-356e-4bc4-bff0-73e626a855c1
75,0006_242.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,10860,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,1774.4360368214,a990e7d9-9de6-4b65-b6c7-51316eb65512
76,0006_243.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,10860,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,6691.59673938188,5bf89962-8222-46f1-b059-a714a25c51ab
77,0006_246.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,9034,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693593727465,bhereth_wfrcgis,1693593727465,bhereth_wfrcgis,686.746515019354,66f60ec0-8f5e-4f04-847f-9e19867e9fa1
