OBJECTID,SEGID,FAC_WDAVG,aadtAdjFactor,M2019,M2023,M2028,M2032,M2042,M2050,MF2019,MF2023,MF2028,MF2032,MF2042,MF2050,CO_NAME,PLANAREA,ADJHIST,ADJ2019,ADJ2023,ADJ2028,ADJ2032,ADJ2042,ADJ2050,FL_REV,OV_REV,FL_LTPRV,OV_LTPRV,FL_ZERO,OV_ZERO,FL_HIADJ,OV_HIADJ,FL_50LT19,OV_50LT19,FL_503X19,OV_503X19,FL_FURREV,OV_FURREV,NOTES,NOTES_FURREV,Shape__Length
13,0006_093.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,MILLARD,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,12254.8664841561
14,0006_099.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,MILLARD,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,9797.56789281809
15,0006_104.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,MILLARD,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1823.84537891064
16,0006_105.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,MILLARD,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4660.74819374855
17,0006_107.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,JUAB,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,29250.5651848967
18,0006_121.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,JUAB,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,31989.0715966737
19,0006_136.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,JUAB,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3612.70296539152
20,0006_138.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,JUAB,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3056.37987759527
21,0006_139.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,JUAB,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,921.280103515772
22,0006_140.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,JUAB,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1495.4775376747
23,0006_141.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,12271.2410149333
24,0006_146.9,0.984,-18,1535,1671,1738,1892,2120,2409,1500,1700,1700,1900,2100,2400,UTAH,MAG,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,6373.23599497998
25,0006_149.9,0.984,856,1585,1799,2012,2075,2652,5357,2400,2700,2900,2900,3500,6200,UTAH,MAG,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1421.83301655553
26,0006_150.6,0.984,657,1784,1989,2209,2281,2891,5598,2400,2600,2900,2900,3500,6300,UTAH,MAG,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4137.93923677616
27,0006_152.6,0.984,-119,2536,2719,2988,3080,3756,6225,2400,2600,2900,3000,3600,6100,UTAH,MAG,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,663.311776810794
28,0006_152.9,0.9593,-124,3883,4230,4700,4991,5675,8072,3800,4100,4600,4900,5600,7900,UTAH,MAG,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,6136.82469224841
29,0006_155.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,MAG,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,423.843569913577
30,0006_155.9,0.9593,1832,3147,3561,3886,4188,5135,7096,5000,5400,5700,6000,7000,8900,UTAH,MAG,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2763.62105557339
31,0006_157.3,0.9593,1058,3921,4532,5480,6215,8330,10750,5000,5600,6500,7300,9400,12000,UTAH,MAG,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,524.249982233037
32,0006_157.6,0.9593,658,4321,5095,6092,6814,9091,11426,5000,5800,6800,7500,9700,12000,UTAH,MAG,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1928.03909731576
33,0006_158.5,1.0918,741,4238,6517,7823,9034,13586,12854,5000,7300,8600,9800,14500,13500,UTAH,MAG,0,0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,2375.34279355055
34,0006_159.6,1.0924,-857,7566,9832,11680,12773,18835,18963,6700,9000,11000,12000,18000,18000,UTAH,MAG,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,474.403382690047
35,0006_159.8,1.0924,4240,8416,12005,13170,14218,19196,19559,12500,16000,17500,18500,23500,24000,UTAH,MAG,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,934.242349066769
36,0006_160.3,1.0918,7083,11822,15645,17331,18676,24358,25075,19000,22500,24500,26000,31500,32000,UTAH,MAG,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,522.554232431242
37,0006_173.4,1.0946,-11075,45763,50956,55599,60544,68254,70875,34500,40000,44500,49500,57000,60000,UTAH,MAG,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,940.051435789378
38,0006_173.7,1.0946,-7712,42400,42439,46504,49575,58552,60000,34500,34500,39000,42000,51000,52500,UTAH,MAG,0,0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,569.763806077198
39,0006_174.0,1.0924,438,31349,32980,36372,38518,49862,51804,32000,33500,37000,39000,50500,52000,UTAH,MAG,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,923.35937648857
40,0006_174.4,1.0924,438,31349,32980,36372,38518,48094,50090,32000,33500,37000,39000,48500,50500,UTAH,MAG,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,916.143259386781
41,0006_174.9,1.0924,5027,19471,21587,24859,26688,39639,40079,24500,26500,30000,31500,44500,45000,UTAH,MAG,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1472.93553702638
42,0006_175.6,1.0924,5027,19471,21587,21051,22532,29271,30385,24500,26500,26000,27500,34500,35500,UTAH,MAG,0,0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,1160.01428356961
43,0006_176.1,1.0924,12123,12375,13822,15331,16329,19087,21654,24500,26000,27500,28500,31000,34000,UTAH,MAG,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1894.68854212384
44,0006_177.0,1.0924,9632,14866,16365,17890,19104,21489,25044,24500,26000,27500,28500,31000,34500,UTAH,MAG,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,408.183501431462
45,0006_177.2,1.0924,-1330,14496,16809,18304,19338,22216,26029,13000,15500,17000,18000,21000,24500,UTAH,MAG,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,667.3882847454
46,0006_177.5,1.0918,2321,10845,12563,13376,14415,17481,22159,13000,15000,15500,16500,20000,24500,UTAH,MAG,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,911.234809432325
47,0006_177.9,1.0918,242,11807,12759,13246,14078,15505,17532,12000,13000,13500,14500,15500,18000,UTAH,MAG,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1898.22462192014
48,0006_178.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5807.59804054243
49,0006_181.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5280.68094626635
50,0006_184.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,7064.65558923368
51,0006_187.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3870.94236156899
52,0006_189.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,9874.25240220504
53,0006_194.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1613.05242736572
54,0006_194.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,474.501438321087
55,0006_195.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4218.30704937597
56,0006_197.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13850.3582214894
57,0006_203.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,15834.2025272317
58,0006_211.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,10555.0495247983
59,0006_216.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,10253.6844197594
60,0006_221.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTAH,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2140.28587340764
61,0006_222.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4612.12223004808
62,0006_224.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,11938.411320566
63,0006_230.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3630.54057131507
64,0006_231.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1433.25042472575
65,0006_232.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,286.126844625964
66,0006_232.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,328.913728102414
67,0006_232.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1399.30381632034
68,0006_233.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4484.42229201492
69,0006_235.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,772.774895707586
70,0006_235.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,895.105717113654
71,0006_236.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,6907.32941921825
72,0006_239.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,782.323389462066
73,0006_239.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2601.9171603779
74,0006_241.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2742.76570998172
75,0006_242.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1774.4360368214
76,0006_243.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,6691.59673938188
77,0006_246.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,686.746515019354
78,0006_246.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,174.660966965594
79,0006_246.94,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4557.03432230272
80,0006_249.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,545.039599154288
81,0006_249.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13960.0200173257
82,0006_256.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARBON,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,11922.5194252517
83,0006_261.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,EMERY,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,11182.713702241
84,0006_267.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,EMERY,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,22893.71502194
85,0006_278.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,EMERY,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,10617.806504172
86,0006_283.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,EMERY,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,34018.4342012991
87,0006_299.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,EMERY,UDOT,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1659.37914458855
88,0007_000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,WASHINGTON,Dixie,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,162.806346103321
89,0007_000.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,WASHINGTON,Dixie,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,453.971938245276
90,0007_000.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,WASHINGTON,Dixie,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2491.22362095262
91,0007_001.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,WASHINGTON,Dixie,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1764.56865612281
92,0007_002.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,WASHINGTON,Dixie,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2116.88329926067
93,0007_003.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,WASHINGTON,Dixie,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3322.2529953128
94,0007_005.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,WASHINGTON,Dixie,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2078.47194446984
95,0007_006.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,WASHINGTON,Dixie,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2393.81874361549
96,0007_007.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,WASHINGTON,Dixie,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2037.4844770303
97,0007_008.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,WASHINGTON,Dixie,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1943.52935310752
98,0007_009.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,WASHINGTON,Dixie,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2563.57401957158
99,0007_010.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,WASHINGTON,Dixie,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3873.51373574545
100,0007_012.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,WASHINGTON,Dixie,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5153.35298656433
101,0007_015.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,WASHINGTON,Dixie,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,6678.26461448226
102,0008_000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,WASHINGTON,Dixie,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,833.685582349746
103,0008_000.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,WASHINGTON,Dixie,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1565.41031678421
104,0008_001.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,WASHINGTON,Dixie,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,248.276304030992
105,0009_000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,WASHINGTON,Dixie,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1033.9734771952
106,0009_000.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,WASHINGTON,Dixie,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1205.51792675059
107,0009_001.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,WASHINGTON,Dixie,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3351.65370870803
108,0009_002.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,WASHINGTON,Dixie,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4410.41290020936
109,0009_004.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,WASHINGTON,Dixie,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,810.891610531966
110,0009_005.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,WASHINGTON,Dixie,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2538.79519723778
111,0009_006.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,WASHINGTON,Dixie,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,836.266422139368
112,0009_007.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,WASHINGTON,Dixie,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,947.513656366746
113,0009_007.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,WASHINGTON,Dixie,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,895.350531551749
114,0009_007.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,WASHINGTON,Dixie,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,710.077927953043
115,0009_008.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,WASHINGTON,Dixie,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,586.123614848453
116,0009_008.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,WASHINGTON,Dixie,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1028.11580485908
117,0009_009.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,WASHINGTON,Dixie,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,964.960106501865
