OBJECTID,SEGID,SUBAREAID,FAC_WDAVG,FAC_SPR,FAC_FAL,FAC_SPRFAL,aadtAdjFac,DYVOL2019,DYVOL2023,DYVOL2028,DYVOL2032,DYVOL2042,DYVOL2050,M2019,M2023,M2028,M2032,M2042,M2050,MF2019,MF2023,MF2028,MF2032,MF2042,MF2050,CO_FIPS,PLANAREA,F_AREA,ADJHIST,ADJ2019,ADJ2023,ADJ2028,ADJ2032,ADJ2042,ADJ2050,OV_REV,OV_LTPRV,OV_ZERO,OV_HIADJ,OV_50LT19,OV_503X19,OV_FURREV,NOTES,NOTES_FURR,OV_SEG,NOTES_SEG,FL_REV,FL_LTPRV,FL_ZERO,FL_HIADJ,FL_50LT19,FL_503X19,FL_FURREV,FL_SEG,CO_NAME,Shape__Length
44,0013_003.3,1,1.0918,1.0107,1.0324,1.02155,-2905,8940.9,9687.1,10666.1,10487.1,11713.2,12543.9,8189,8873,9769,9605,10728,11489,5300,6000,6900,6700,7800,8600,3,WFRC,WFRC,0,0,0,0,0,0,0,0,1,0,0,0,0,0,New north-south arterial in 2032,,0,,0,1,0,0,0,0,0,0,Box Elder,3385.41778799679
45,0013_004.9,1,0.9593,0.9859,1.003,0.99445,-454,8749.0,9480.1,10429.0,10466.7,12261.3,13717.0,9120,9882,10871,10911,12782,14299,8700,9400,10500,10500,12500,14000,3,WFRC,WFRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New north-south arterial in 2032,,0,,0,0,0,0,0,0,0,0,Box Elder,1541.07273310372
46,0013_005.6,1,0.9593,0.9859,1.003,0.99445,1017,8475.4,9148.0,9712.6,10217.3,12046.3,13618.6,8835,9536,10125,10651,12557,14196,9900,10500,11000,11500,13500,15000,3,WFRC,WFRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New north-south arterial in 2032,,0,,0,0,0,0,0,0,0,0,Box Elder,2085.60400768227
47,0015_241.6,1,0.905,1.0444,1.0062,1.0253,-3932,29360.0,31537.0,35346.0,36715.0,43153.0,48129.0,32442,34848,39056,40569,47683,53181,28500,31000,35000,36500,44000,49000,49,MAG,MAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,th - none,,0,,0,0,0,0,0,0,0,0,Utah,1809.33912570963
48,0015_242.4,1,0.9701,1.0026,1.0138,1.0082,-2377,32701.7,33195.4,37204.3,39930.6,47269.9,51600.2,33710,34219,38351,41161,48727,53191,31500,32000,36000,39000,46500,51000,49,MAG,MAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,th - none,,0,,0,0,0,0,0,0,0,0,Utah,5009.56939222848
49,0015_244.8,1,0.9701,1.0026,1.0138,1.0082,1176,41596.4,45817.2,51835.6,55847.3,68391.4,73000.2,42878,47229,53433,57569,70499,75250,44000,48500,54500,58500,71500,76500,49,MAG,MAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,th - none,,0,,0,0,0,0,0,0,0,0,Utah,4446.78533707825
50,0015_246.9,1,0.9701,1.0026,1.0138,1.0082,1176,41596.4,45817.2,51835.6,55847.3,68391.4,73000.2,42878,47229,53433,57569,70499,75250,44000,48500,54500,58500,71500,76500,49,MAG,MAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,th - none,,0,,0,0,0,0,0,0,0,0,Utah,4047.75602894735
51,0015_248.8,1,0.9701,1.0026,1.0138,1.0082,-956,47878.8,52527.7,58886.3,64556.0,84130.5,97317.5,49354,54147,60701,66546,86724,100317,48500,53000,59500,65500,86000,99500,49,MAG,MAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,th - none,,0,,0,0,0,0,0,0,0,0,Utah,4391.19873197643
52,0015_250.9,1,0.9701,1.0026,1.0138,1.0082,-3654,64247.1,69895.6,76109.6,78293.1,101225.2,114415.2,66227,72050,78455,80706,104345,117942,62500,68500,75000,77000,101000,114000,49,MAG,MAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,th - none,,0,,0,0,0,0,0,0,0,0,Utah,1670.23831373482
53,0015_251.6,1,0.9701,1.0026,1.0138,1.0082,-5977,66500.0,72290.8,78631.9,88242.6,113072.1,129477.5,68550,74519,81055,90962,116557,133468,62500,68500,75000,85000,111000,127000,49,MAG,MAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,th - none,,0,,0,0,0,0,0,0,0,0,Utah,1545.14237246103
54,0015_252.5,1,0.9701,1.0026,1.0138,1.0082,-5977,66500.0,72290.8,78631.9,90953.1,117812.4,135330.6,68550,74519,81055,93756,121444,139502,62500,68500,75000,88000,115000,134000,49,MAG,MAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,th - none,,0,,0,0,0,0,0,0,0,0,Utah,2307.5851187439
55,0015_253.6,1,0.9701,1.0026,1.0138,1.0082,-4630,65364.0,72096.3,87397.0,102134.2,129991.1,145933.5,67379,74318,90091,105282,133998,150431,62500,69500,85500,101000,129000,146000,49,MAG,MAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,th - none,,0,,0,0,0,0,0,0,0,0,Utah,4876.50833675651
56,0015_255.9,1,0.9701,1.0026,1.0138,1.0082,-4630,65364.0,72096.3,87397.0,102134.2,146553.1,168285.3,67379,74318,90091,105282,151070,173472,62500,69500,85500,101000,146000,169000,49,MAG,MAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,th - none,,0,,0,0,0,0,0,0,0,0,Utah,2993.75235930114
57,0015_257.3,1,1.0654,1.0094,1.0131,1.01125,12147,74013.1,81093.9,95479.0,111270.0,153116.3,171841.8,69470,76116,89618,104440,143717,161293,81500,88500,102000,117000,156000,173000,49,MAG,MAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,th - none,,0,,0,0,0,0,0,0,0,0,Utah,759.921942789007
58,0015_257.6,1,1.0654,1.0094,1.0131,1.01125,-22317,140300.9,152441.2,167878.2,170696.1,212407.4,228238.7,131688,143084,157573,160218,199369,214228,109000,121000,135000,138000,177000,192000,49,MAG,MAG,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,th - cd-smoothing,,0,,0,0,0,0,0,0,0,0,Utah,2475.5528649783
59,0015_258.8,1,1.0654,1.0094,1.0131,1.01125,-11008,128252.2,139266.6,154100.5,177161.7,220564.4,236552.4,120379,130718,144641,166287,207025,222032,109000,120000,134000,155000,196000,211000,49,MAG,MAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,th - none,,0,,0,0,0,0,0,0,0,0,Utah,2435.06569076937
60,0015_260.0,1,1.0654,1.0094,1.0131,1.01125,-13871,150638.4,160896.2,175834.1,189765.5,228937.3,247835.2,141391,151020,165040,178117,214884,232622,128000,137000,151000,164000,201000,219000,49,MAG,MAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,th - none,,0,,0,0,0,0,0,0,0,0,Utah,3858.26724226462
61,0015_261.8,1,1.0654,1.0094,1.0131,1.01125,-13049,162476.5,174346.9,191004.9,201937.3,242106.0,261808.7,152503,163645,179280,189541,227244,245737,139000,151000,166000,176000,214000,233000,49,MAG,MAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,th - none,,0,,0,0,0,0,0,0,0,0,Utah,3330.69341534975
62,0015_263.4,1,1.0654,1.0094,1.0131,1.01125,13085,131083.6,141745.7,154193.1,168681.4,194480.5,217419.3,123037,133045,144728,158327,182542,204073,136000,146000,158000,171000,196000,217000,49,MAG,MAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,th - none,,0,,0,0,0,0,0,0,0,0,Utah,1727.16541061227
63,0015_264.2,1,1.0654,1.0094,1.0131,1.01125,13085,131083.6,141745.7,154193.1,168681.4,194480.5,217419.3,123037,133045,144728,158327,182542,204073,136000,146000,158000,171000,196000,217000,49,MAG,MAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,th - none,,0,,0,0,0,0,0,0,0,0,Utah,3086.54884444909
64,0015_265.6,1,1.0654,1.0094,1.0131,1.01125,23506,141920.5,155143.9,166589.4,186567.1,206473.7,231629.4,133209,145620,156363,175115,193799,217411,157000,169000,180000,199000,217000,241000,49,MAG,MAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,th - none,,0,,0,0,0,0,0,0,0,0,Utah,1903.5681479988
65,0015_266.5,1,1.0654,1.0094,1.0131,1.01125,23506,141920.5,155143.9,166589.4,186567.1,218765.2,246469.9,133209,145620,156363,175115,205336,231340,157000,169000,180000,199000,229000,255000,49,MAG,MAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,th - none,,0,,0,0,0,0,0,0,0,0,Utah,975.395524084613
66,0015_267.0,1,1.0654,1.0094,1.0131,1.01125,23506,141920.5,155143.9,166589.4,186567.1,218765.2,246469.9,133209,145620,156363,175115,205336,231340,157000,169000,180000,199000,229000,255000,49,MAG,MAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,,0,,0,0,0,0,0,0,0,0,Utah,1883.15202190582
