Station,Route,Begin MP,End MP,Section Length,Location Description,AADT2022
019-0016,0070PM,175.7410,182.3060,6.5650,Ranch Exit (Floy),"11,872"
019-0020,0070PM,182.3060,187.5720,5.2660,SR 191 Crescent Junction Moab,"10,152"
019-0025,0070PM,187.5720,193.6420,6.0700,SR 94 Thompson,"8,647"
019-0030,0070PM,193.6420,204.9270,11.2850,Ranch Exit (Yellow Cat),"11,127"
019-0035,0070PM,204.9270,214.5560,9.6290,SR 128 Cisco Whitehouse,"9,164"
019-0040,0070PM,214.5560,222.0740,7.5180,North Cisco,"8,971"
019-0041,0070PM,222.0740,227.2700,5.1960,Ranch Exit (Cottonwood),"8,952"
019-0045,0070PM,227.2700,231.8541,4.5841,Westwater - Colorado State Line,"8,190"
035-0283,0071PM,0.0000,1.3810,1.3810,Bangerter Highway,"25,794"
035-0284,0071PM,1.3810,2.3790,0.9980,2700 West,"34,113"
035-0280,0071PM,2.3790,2.8820,0.5030,SR 68 Redwood Road,"28,965"
035-0282,0071PM,2.8820,4.1570,1.2750,1300 West via 12600 South,"28,440"
035-0281,0071PM,4.1570,4.7310,0.5740,Galena Park Drive (550 West) Draper,"32,992"
035-0285,0071PM,4.7310,4.9730,0.2420,Lone Peak Parkway,"33,541"
035-0290,0071PM,4.9730,5.4650,0.4920,I 15 via 12300 South,"32,409"
035-0291,0071PM,5.4650,6.0200,0.5550,300 East,"36,556"
035-0295,0071PM,6.0200,7.2190,1.1990,700 East SR 71 turns North,"14,098"
035-0300,0071PM,7.2190,7.7180,0.4990,11400 South via 700 East (North Incl Draper),"15,479"
035-0301,0071PM,7.7180,8.2190,0.5010,11000 South,"23,129"
035-0305,0071PM,8.2190,9.2180,0.9990,10600 South,"27,079"
035-0310,0071PM,9.2180,9.7270,0.5090,9800 S (Sego Lily Dr),"28,164"
035-0315,0071PM,9.7270,10.2420,0.5150,9400 South,"28,839"
035-0320,0071PM,10.2420,10.7170,0.4750,SR 209 9000 South,"39,695"
035-0325,0071PM,10.7170,11.7200,1.0030,8600 South,"29,245"
035-0330,0071PM,11.7200,12.7020,0.9820,7800 South,"29,163"
035-0336,0071PM,12.7020,13.3480,0.6460,Fort Union Boulevard,"22,845"
035-0335,0071PM,13.3480,14.0750,0.7270,6600 South via 900 East,"28,344"
035-0340,0071PM,14.0750,14.5920,0.5170,6000 South,"29,461"
035-0345,0071PM,14.5920,15.7160,1.1240,5600 South,"27,409"
035-0350,0071PM,15.7160,16.5280,0.8120,SR 152 Vanwinkle Expressway 4800 South,"26,978"
035-0355,0071PM,16.5280,17.4060,0.8780,SR 266 4500 South via 700 East,"38,249"
035-0360,0071PM,17.4060,18.2890,0.8830,3900 South,"34,843"
035-0365,0071PM,18.2890,19.1720,0.8830,SR 171 3300 South,"39,786"
035-0370,0071PM,19.1720,19.5840,0.4120,2700 South,"34,887"
035-0375,0071PM,19.5840,20.0520,0.4680,I 80,"50,414"
035-0380,0071PM,20.0520,20.6100,0.5580,2100 South,"44,319"
035-0385,0071PM,20.6100,21.1700,0.5600,1700 South,"44,139"
035-0391,0071PM,21.1700,21.8330,0.6630,1300 South,"41,424"
035-0390,0071PM,21.8330,22.4823,0.6493,800 South - SR 186 400 South,"41,444"
055-0070,0072PM,0.0000,1.1980,1.1980,SR 24 via SR 72 (500 N) - Rd Right  Loa,913
055-0075,0072PM,1.1980,4.4600,3.2620,500 N (Loa) via SR 72 - Center St  Freemont,517
055-0080,0072PM,4.4600,9.6400,5.1800,Center St via Main St (Fremont) - Rd to Mill Meadow/Johnson Res,209
041-0104,0072PM,9.6400,33.6040,23.9640,Mill Meadow/Johnson Res via SR 72 - SR 76,131
041-0105,0072PM,33.6040,35.4737,1.8697,SR 76 via SR 72 - I 70 Fremont Junction,133
045-0095,0073PM,0.0000,3.4170,3.4170,SR 36 via SR 73 - Deseret Chem Depot,"1,372"
045-0100,0073PM,3.4170,15.5020,12.0850,Deseret Chem Depot via SR 73 - Faust Rd,"1,150"
045-0101,0073PM,15.5020,20.6410,5.1390,Faust Rd via SR 73 - 1500 N Fairfield,"2,010"
049-0315,0073PM,20.6410,25.0560,4.4150,1500 N Fairfield via SR 73 Cedar Valley Rd - 200 S Cedar Fort,"3,287"
049-0316,0073PM,25.0560,25.5230,0.4670,200 Svia SR 73 - 200 N  Cedar Fort,"3,308"
049-0325,0073PM,25.5230,33.3060,7.7830,200 N Cedar Fort via SR 73 - Ranches Pwy,"4,424"
049-0327,0073PM,33.3060,35.4020,2.0960,Ranches Pkwy via SR 73 - 800 W **ATR 626**,"34,052"
049-0328,0073PM,35.4020,35.6991,0.2971,800 W via SR 73 - SR 145,"23,294"
049-0350,0073PM,35.7001,36.1821,0.4820,850 E via SR 73 (Main St) - SR 89 Lehi,"24,994"
049-0355,0074PM,0.0000,0.4330,0.4330,SR 89 Main Street American Fork,"19,818"
049-0006,0074PM,0.4330,1.0280,0.5950,300 North American Fork,"21,152"
049-0365,0074PM,1.0280,1.5500,0.5220,740 North via 100 East American Fork,"16,490"
049-0370,0074PM,1.5500,3.1280,1.5780,1120 North,"13,932"
049-0372,0074PM,3.1280,3.8890,0.7610,10400 North Highland,"15,448"
049-0375,0074PM,3.8890,4.6150,0.7260,SR 92 11000 North,"13,576"
049-0380,0074PM,4.6150,5.0750,0.4600,Sunset Drive - Canyon Crest Road Alpine,"16,082"
049-0385,0075PM,0.0000,2.0268,2.0268,I 15 North Springville - SR 89,"11,826"
041-0110,0076PM,0.0000,2.4338,2.4338,I 70 (Exit 86) via SR 76 - SR 72,690
049-0390,0077PM,0.0000,2.3730,2.3730,SR 147 South of Lakeshore,"1,452"
049-0395,0077PM,2.3730,6.6520,4.2790,3200 West SR 77 turns East,"2,891"
049-0396,0077PM,6.6520,7.1700,0.5180,2600 West Springville,"9,444"
049-0400,0077PM,7.1700,8.5650,1.3950,I 15 via 400 South,"33,999"
049-0405,0077PM,8.5650,9.1033,0.5383,400 West - SR 89 Springville,"20,094"
023-0120,0078PM,0.0000,9.1010,9.1010,I 15 Mills via SR 78 - 3rd W  Levan,864
023-0125,0078PM,9.1010,9.4086,0.3076,3rd W via SR 78 (1st N) - SR 28 Levan,714
057-0204,0079PM,0.0000,0.7530,0.7530,SR 108 Midland Dr via SR 79 Hinckley Dr - SR 126 West Haven,"10,034"
057-0205,0079PM,0.7530,1.8640,1.1110,SR 126 (1900 W) via SR 79 Hinkley Dr - Pennsylvania Ave,"16,642"
057-0210,0079PM,1.8640,2.3710,0.5070,Pennsylvania Ave via SR 79 Hinkley Dr - I 15  Ogden,"20,651"
057-0215,0079PM,2.3710,2.9890,0.6180,I 15 via SR 79 (31st St) - Begin One-Way E/B,"26,601"
057-0220,0079PM,2.9890,3.3210,0.3320,Begin One Way E/B via SR 79 - SR 204 Wall Ave Ogden,"9,089"
057-0225,0079PM,3.3210,3.7636,0.4426,SR 204 Wall Ave via SR 79 (31st St) E/B - SR 89 Washington Blvd,"9,958"
057-0230,0079PM,3.7646,4.1970,0.4324,SR 89 via SR 79 (30th St) - Madison Ave  Ogden,"11,685"
057-0235,0079PM,4.1970,4.3450,0.1480,Madison Ave via SR 79 (30th St) - Monroe Blvd  Ogden,"9,400"
057-0236,0079PM,4.3450,4.9216,0.5766,Monroe Blvd via SR 79 (30th St) - SR 203 Harrison Blvd  Ogden,"8,574"
057-0240,0079PM,4.9226,5.3640,0.4414,SR 89 Begin OneWay W/B via 30th St - SR 204 Wall Ave Ogden,"9,437"
057-0245,0079PM,5.3640,5.7845,0.4205,SR 204 Wall Ave via SR 79 (30th St) W/B - 31st St  Two Way,"11,181"
045-0105,0080PM,0.0000,1.4870,1.4870,Nevada State Line & Interchange,"9,182"
045-0110,0080PM,1.4870,4.0020,2.5150,SR 58 Wendover,"8,882"
045-0115,0080PM,4.0020,41.3830,37.3810,Bonneville Speedway,"9,641"
045-0120,0080PM,41.3830,49.0120,7.6290,Knolls,"9,601"
045-0121,0080PM,49.0120,56.3270,7.3150,Clive,"9,944"
045-0125,0080PM,56.3270,61.9870,5.6600,Aragonite,"10,043"
045-0130,0080PM,61.9870,69.6880,7.7010,Lakeside Military Area,"10,305"
045-0135,0080PM,69.6880,76.5850,6.8970,Delle,"10,709"
045-0140,0080PM,76.5850,83.8830,7.2980,SR 196 Rowley Dugway,"12,645"
045-0145,0080PM,83.8830,88.1380,4.2550,SR 138 West Grantsville Stansbury,"13,412"
045-0150,0080PM,88.1380,98.8450,10.7070,Burmester Grantsville,"14,105"
045-0155,0080PM,98.8450,101.7520,2.9070,SR 36 Tooele Mills Junction,"52,345"
045-0396,0080PM,101.7520,104.5080,2.7560,SR 201 Lakepoint,"28,322"
035-0400,0080PM,104.5080,111.5400,7.0320,SR 202 Saltair Drive (Garfield Cutoff),"29,415"
035-0405,0080PM,111.5400,113.5340,1.9940,7200 West,"28,078"
035-0410,0080PM,113.5340,114.6300,1.0960,SR 172 5600 West,"45,430"
035-0415,0080PM,114.6300,115.6760,1.0460,Wright Brothers Drive (4800 West),"66,549"
035-0420,0080PM,115.6760,117.6530,1.9770,SR 154 Bangerter Hwy/Airport/North Temple,"85,610"
035-0422,0080PM,117.6530,118.2580,0.6050,I 215,"75,260"
035-0425,0080PM,118.2580,120.0018,1.7438,SR 68 Redwood Road - I 15,"75,181"
035-0430,0080PM,122.2966,123.5090,1.2124,I 15,"132,928"
035-0435,0080PM,123.5090,124.4040,0.8950,SR 89 State Street,"136,143"
035-0440,0080PM,124.4040,125.3520,0.9480,SR 71 700 East,"127,371"
035-0445,0080PM,125.3520,127.0620,1.7100,1300 East,"104,884"
035-0450,0080PM,127.0620,127.2430,0.1810,2300 East,"83,539"
035-0455,0080PM,127.2430,127.9590,0.7160,I 215 Off Ramp,"43,159"
035-0460,0080PM,127.9590,128.8820,0.9230,SR 186 Foothill Drive,"41,856"
035-0465,0080PM,128.8820,130.6750,1.7930,I 215 On Ramp - Quarry *ATR 301*,"61,562"
035-0471,0080PM,130.6750,132.1450,1.4700,Quarry,"62,260"
035-0475,0080PM,132.1450,133.9420,1.7970,Ranch Exit (Mt. Aire ),"61,023"
035-0481,0080PM,133.9420,136.3830,2.4410,SR 65 Mountain Dell/East Canyon,"60,691"
035-0485,0080PM,136.3830,139.6660,3.2830,Lambs Canyon,"60,570"
043-0045,0080PM,139.6660,142.0740,2.4080,Parleys Summit,"64,590"
043-0050,0080PM,142.0740,144.4650,2.3910,Jeremy Ranch,"62,163"
043-0055,0080PM,144.4650,147.1530,2.6880,SR 224 Kimball Junction,"42,418"
043-0060,0080PM,147.1530,151.0130,3.8600,SR 40 Silver Creek Junction,"18,438"
043-0065,0080PM,151.0130,155.2760,4.2630,Ranch Exit (Tollgate Canyon),"17,848"
043-0070,0080PM,155.2760,162.9150,7.6390,SR 32 Wanship Kamas,"16,767"
043-0074,0080PM,162.9150,167.6560,4.7410,SR 280 Coalville,"15,835"
043-0075,0080PM,167.6560,168.1140,0.4580,I 84 West,"18,149"
043-0080,0080PM,168.1140,179.0590,10.9450,Echo Junction,"17,854"
043-0090,0080PM,179.0590,184.4930,5.4340,Emory,"17,917"
043-0095,0080PM,184.4930,188.1380,3.6450,Castlerock,"17,840"
043-0100,0080PM,188.1380,192.0650,3.9270,Ranch Exit (Ball And Moore Ranch),"16,959"
043-0105,0080PM,192.0650,197.0631,4.9981,Wasatch - Wyoming State Line,"17,890"
003-0205,0081PM,0.0000,1.9890,1.9890,SR 30 via SR 81 (4400 W) - 450 S  Fielding,840
003-0210,0081PM,1.9890,2.4891,0.5001,450 S via SR 81 (Center St) - Main St  Fielding,586
003-0215,0082PM,0.0000,0.5020,0.5020,SR 102 (Main St) via SR 82 (300 E) - 600 N  Tremonton,"5,580"
003-0220,0082PM,0.5020,1.0010,0.4990,600 N Tremonton via SR 82 (300 E) - 1400 S  Garland,"5,222"
003-0225,0082PM,1.0010,2.0170,1.0160,1400 S via SR 82 (Main St) - Factory St  Garland,"4,926"
003-0230,0082PM,2.0170,2.7540,0.7370,Main St via SR 82 (Factory St) - 5400 W  Garland,"2,795"
003-0235,0082PM,2.7540,3.2082,0.4542,Factory St via SR 82 (5400 W) - SR 13,567
003-0240,0083PM,0.0000,1.5640,1.5640,SR 13 via SR 83 - 6000 W  Corinne,"6,345"
003-0246,0083PM,1.5640,2.6110,1.0470,6000 W via SR 83 - Iowa Springs Rd (6800 W)  West Corinne,"5,022"
003-0245,0083PM,2.6110,13.0510,10.4400,Iowa Springs Rd (6800 W) West Corinne via SR 83 - SR 102,"2,785"
003-0250,0083PM,13.0510,16.5190,3.4680,SR 102 via SR 83 - Golden Spike Dr,"3,758"
003-0255,0083PM,16.5190,23.6780,7.1590,Golden Spike Dr via SR 83 - 17200 W to Howell,"1,535"
003-0260,0083PM,23.6780,30.7178,7.0398,Faust Valley Rd via SR 83 (17200 W) - I 84,328
003-0265,0084PM,0.0000,4.6550,4.6550,Idaho State Line,"11,671"
003-0270,0084PM,4.6550,7.1170,2.4620,SR 30 Park Valley Elko,"11,425"
003-0275,0084PM,7.1170,11.9630,4.8460,Snowville,"11,115"
003-0277,0084PM,11.9630,15.7970,3.8340,Ranch Exit,"12,252"
003-0280,0084PM,15.7970,17.3750,1.5780,Hansel Valley/Ranch,"12,317"
003-0285,0084PM,17.3750,20.3090,2.9340,Ranch Exit (East Rattlesnake),"11,091"
003-0290,0084PM,20.3090,24.4570,4.1480,Blue Creek,"12,370"
003-0296,0084PM,24.4570,26.5700,2.1130,Pocatello Valley Interchange,"12,570"
003-0302,0084PM,26.5700,32.4310,5.8610,SR 83 Howell,"12,109"
003-0301,0084PM,32.4310,39.5400,7.1090,Ranch Exit (Whites Valley),"12,669"
003-0305,0084PM,39.5400,40.8570,1.3170,Garland Bothwell,"12,758"
003-0306,0084PM,40.8570,42.7515,1.8945,SR 102 West Tremonton/Logan - I 15,"15,490"
057-0250,0084PM,81.1598,81.8340,0.6742,I 15,"22,044"
057-0256,0084PM,81.8340,84.7090,2.8750,SR 26 Riverdale Road,"24,172"
011-0170,0084PM,84.7090,87.8990,3.1900,South Weber/Uintah,"23,111"
057-0176,0084PM,87.8990,92.4740,4.5750,South Ogden/Salt Lake Interchange,"23,828"
029-0050,0084PM,92.4740,96.6430,4.1690,SR 167 Mountain Green  ATR 307,"16,887"
029-0055,0084PM,96.6430,103.4810,6.8380,Peterson Stoddard,"16,214"
029-0060,0084PM,103.4810,104.0500,0.5690,SR 66 West Morgan,"11,566"
029-0066,0084PM,104.0500,106.3250,2.2750,SR 66 East Morgan,"12,350"
029-0070,0084PM,106.3250,108.4260,2.1010,Ranch Exit (Round Valley),"12,467"
029-0075,0084PM,108.4260,111.4710,3.0450,Taggert Exit (Dry Creek),"12,609"
029-0077,0084PM,111.4710,112.8990,1.4280,Croydon (Devils Slide),"11,684"
043-0107,0084PM,112.8990,115.5700,2.6710,SR 86 West Henefer,"10,055"
043-0110,0084PM,115.5700,119.9578,4.3878,SR 65 East Henefer - I 80,"12,238"
,0085PM,0.0000,2.4015,2.4015,SR 73 - Redwood Rd/2100 N,"10,230"
035-3430,0085PM,2.4025,2.9660,0.5635,Redwood Rd,"21,301"
035-3431,0085PM,2.9660,6.0130,3.0470,Porter Rockwell Blvd,"18,261"
035-3432,0085PM,6.0130,7.3590,1.3460,Rosecrest Drive (Rt 2153),"22,265"
035-3433,0085PM,7.3590,8.3700,1.0110,13400 S (Rt 2035),"19,912"
035-3434,0085PM,8.3700,9.7160,1.3460,12600 S (Rt 2030),"38,430"
035-3435,0085PM,9.7160,11.9180,2.2020,Daybreak Pkwy (Rt 2060),"44,000"
035-3436,0085PM,11.9180,13.3840,1.4660,Old Bingham Highway (Rt 2034),"16,952"
035-3437,0085PM,13.3840,14.9220,1.5380,9000 S,"19,290"
035-3438,0085PM,14.9220,17.1120,2.1900,7800 S (Rt 2036),"32,281"
035-3439,0085PM,17.1120,18.1260,1.0140,6200 S (Rt 2150) - 5400 S (SR 173),"18,200"
035-5730,0085PM,18.1260,20.3130,2.1870,5400 S via Mountain View Corridor,"13,406"
,0085PM,20.3130,21.3190,1.0060,4100 S,"11,420"
,0085PM,21.3190,22.3250,1.0060,3500 S,"11,420"
,0085PM,22.3250,23.3540,1.0290,Parkway Blvd,"11,420"
,0085PM,23.3540,24.3523,0.9983,SR 201 - California Ave,"1,142"
043-0115,0086PM,0.0000,1.8580,1.8580,I 84 NW Henefer via SR 86 (Frontage Rd) - Stephens Dr (675 N),606
043-0120,0086PM,1.8580,2.1346,0.2766,Stephens Rd (675 N) via SR 86 (Main St) - SR 65  Henefer,"1,080"
013-0075,0087PM,0.0000,0.6680,0.6680,SR 40 via SR 87 (Center St) - 8750 S (Hillside Ave)  Duchesne,"5,489"
013-0080,0087PM,0.6680,5.9430,5.2750,8750 S (Hillside Ave) via SR 87 (21615 W) - SR 35 to Tabiona,"2,462"
013-0081,0087PM,5.9430,15.6010,9.6580,SR 35 Tabiona via SR 87 - 21000 W to Mountain Home,"1,996"
013-0085,0087PM,15.6010,18.6140,3.0130,21000 W to Mountain Home via SR 87 - 18000 W to Boneta,"1,318"
013-0090,0087PM,18.6140,20.9220,2.3080,18000 W to Boneta via SR 87 - 16000 W  Altamont,"2,088"
013-0097,0087PM,20.9220,21.3490,0.4270,16000 W via SR 87 - 1st E  Altamont,"2,777"
013-0095,0087PM,21.3490,28.5020,7.1530,1st St Altamont via SR 87 - 1480 S (Center St)  Upalco,"1,662"
013-0100,0087PM,28.5020,38.0871,9.5851,Upalco 1480 S (Center St ) via SR 87 - SR 40,"2,841"
047-0080,0088PM,0.0000,9.9620,9.9620,Green River Bridge Ouray via SR 88 - Rd to Randlett,"3,217"
047-0085,0088PM,9.9620,16.9593,6.9973,Rd to Randlett via SR 88 - SR 40 South West of Vernal,"1,280"
025-0025,0089PM,0.0000,7.3110,7.3110,Arizona St Line via SR 89 - Ethan Allen Visitor Center,"4,756"
025-0030,0089PM,7.3110,54.7650,47.4540,Ethan Allen Visitor Ctr via SR 89 - Johnson Cyn Rd *ATR 411*,"3,499"
025-0035,0089PM,54.7650,63.0730,8.3080,Johnson Canyon Rd via SR 89 - 900 E Kanab,"4,618"
025-0040,0089PM,63.0730,64.0040,0.9310,900 E via SR 89 (300 S) - 100 E  Kanab,"2,668"
025-0045,0089PM,64.0040,65.1200,1.1160,SR 89A (300 S) via 100 E/Center St/300 W - 300 N Kanab,"11,778"
025-0050,0089PM,65.1200,81.4300,16.3100,300 N Kanab via SR 89 - SR 9 Mt Carmel Jct,"3,190"
025-0055,0089PM,81.4300,85.4440,4.0140,SR 9 Mt. Carmel via SR 89 - Frost Lane Orderville,"2,955"
025-0060,0089PM,85.4440,86.4550,1.0110,Frost Lane via SR 89 (State St) - Sand St (100 N) Orderville,"4,199"
025-0065,0089PM,86.4550,89.5300,3.0750,100 N Orderville via SR 89 - 400 S Glendale,"2,726"
025-0070,0089PM,89.5300,90.2560,0.7260,400 S via SR 89 (Main St) - 300 N  Glendale,319
025-0075,0089PM,90.2560,103.9300,13.6740,300 N Glendale via SR 89 - SR 14 Long Valley Jct,"2,222"
025-0076,0089PM,103.9300,114.7660,10.8360,SR 14 Long Valley Jct via SR 89 - Fish Hatchery Rd,"2,032"
017-0080,0089PM,114.7660,116.1380,1.3720,Fish Hatchery Rd via SR 89 - 200 S   Hatch,"3,809"
017-0085,0089PM,116.1380,116.7170,0.5790,200 S via SR 89 - 300 N   Hatch,"2,271"
017-0090,0089PM,116.7170,124.5450,7.8280,300 N Hatch via SR 89 - SR 12 (Bryce Cyn Jct),"2,319"
017-0095,0089PM,124.5450,130.8960,6.3510,SR 12 (Bryce Cyn Jct) via SR 89 - 500 E Panquitch,"4,571"
017-0100,0089PM,130.8960,131.4330,0.5370,500 E via Center St  - SR 143 (Main St)  Panguitch,"4,988"
017-0105,0089PM,131.4330,132.3320,0.8990,Center St via Main St - Rodeo Gnds   Panguitch,"2,622"
017-0110,0089PM,132.3320,141.4810,9.1490,Rodeo Grounds Panguitch via SR 89 - SR 20,"2,536"
017-0115,0089PM,141.4810,157.9910,16.5100,SR 20 Orton Jct via SR 89 - 470 S Circleville *ATR*  504,"1,396"
031-0040,0089PM,157.9910,158.9020,0.9110,470 S via SR 89 - 100 E Circleville,"1,453"
031-0047,0089PM,158.9020,162.8290,3.9270,100 E via Main St Circleville - SR 62 Capitol Reef NP,"1,866"
031-0045,0089PM,162.8290,164.7380,1.9090,SR 62 Capital Reef NP via SR 89 - SR 153 Center St  Junction,"1,579"
031-0046,0089PM,164.7380,165.2950,0.5570,SR 153 Center St via Main St - Scotts Lane Junction,"1,651"
031-0050,0089PM,165.2950,179.3900,14.0950,Scotts Lane (Junction) via SR 89 - Old State Hwy  Marysvale,"1,653"
031-0055,0089PM,179.3900,179.7620,0.3720,Old State Hwy via Main St - 400 N  Marysvale,"1,827"
031-0060,0089PM,179.7620,192.2220,12.4600,400 N Marysvale via SR 89 - Jct  I 70 Sevier Jct *ATR* 415,"1,559"
041-0120,0089PM,225.9282,227.0680,1.1398,I 70 via SR 89 (State St) -  Black Hawk Arena Salina *ATR* 503,"6,102"
041-0125,0089PM,227.0680,227.6890,0.6210,Blackhawk Arena via SR 89 (State St) - SR 50 (Main St) Salina,"6,121"
041-0130,0089PM,227.6890,228.8000,1.1110,SR 50 (Main St) via SR 89 (State St) - SR 256  Salina,"7,837"
041-0135,0089PM,228.8000,234.0460,5.2460,SR 256 S Redmond via SR 89 - SR 256 N Redmond,"5,742"
039-0035,0089PM,234.0460,239.2240,5.1780,SR 256 No Redmond via SR 89 - 400 S  Centerfield,"8,121"
039-0040,0089PM,239.2240,240.8040,1.5800,400 S Centerfield via SR 89 (Main St) - SR 137 (600 S) Gunnison,"10,366"
039-0045,0089PM,240.8040,242.0460,1.2420,SR 137 (600 S) via SR 89 (Main St) - SR 28 (300 N)  Gunnison,"7,840"
039-0050,0089PM,242.0460,242.6570,0.6110,SR 28 via SR 89 (300 N) Central Utah Corr Fac  Gunnison,"5,316"
039-0051,0089PM,242.6570,249.9300,7.2730,Central Utah Corr Fac via SR 89 - 200 S  Sterling,"3,045"
039-0060,0089PM,249.9300,250.4900,0.5600,200 S via SR 89 (Main St) - Palisade Rd (4750 S) Sterling,"4,768"
039-0065,0089PM,250.4900,255.5960,5.1060,Palisade Rd (4750 S) Sterling via SR 89 -  600 S Manti,"4,535"
039-0070,0089PM,255.5960,256.7490,1.1530,600 S via SR 89 (Main St) - 100 E  Manti,"4,223"
039-0075,0089PM,256.7490,262.8350,6.0860,100 E Manti via SR 89 - 400 S  Ephraim,"8,429"
039-0080,0089PM,262.8350,264.2230,1.3880,400 S via SR 89 (Main St) - 700 N  Ephraim,"11,385"
039-0085,0089PM,264.2230,268.0080,3.7850,700 N Ephraim via SR 89 - SR 132,"8,313"
039-0090,0089PM,268.0080,277.0250,9.0170,SR 132 via SR 89 - SR 117,"3,666"
039-0095,0089PM,277.0250,278.5540,1.5290,SR 117 via SR 89/Center St - SR 116 (Main St)  Mt Pleasant,"5,611"
039-0100,0089PM,278.5540,279.0720,0.5180,SR 116 (Main St) via SR 89 (Center St) - 500 N  Mt Pleasant,"5,107"
039-0105,0089PM,279.0720,284.0280,4.9560,500 N Mt Pleasant via SR 89 - 300 S Fairview,"4,567"
039-0110,0089PM,284.0280,284.8250,0.7970,300 S via SR 89 (State St) - SR 131 (400 N)  Fairview,"5,183"
039-0115,0089PM,284.8250,294.9940,10.1690,SR 31 (400 N) Fairview via SR 89 - Indianola Rd (34370 N)  Indianola,"2,562"
039-0410,0089PM,294.9940,313.5602,18.5662,Indianola Road (34370 N) Indianola via SR 89 - SR 6 *ATR* 416,"3,457"
049-0415,0089PM,323.0914,324.8850,1.7936,SR 6 Moark Junction,"6,504"
049-0425,0089PM,324.8850,325.5220,0.6370,2600 South Mapleton,"3,934"
049-0430,0089PM,325.5220,326.5210,0.9990,SR 147 1600 South Mapleton,"7,945"
049-0435,0089PM,326.5210,327.5940,1.0730,SR 147 800 North Mapleton,"13,576"
049-0445,0089PM,327.5940,328.6730,1.0790,1600 North Mapleton,"14,560"
049-0450,0089PM,328.6730,328.8500,0.1770,SR 51 600 South Springville,"27,006"
049-0455,0089PM,328.8500,329.2360,0.3860,SR 77 400 South Springville,"22,611"
049-0460,0089PM,329.2360,329.6230,0.3870,Center Street Springville,"30,094"
049-0465,0089PM,329.6230,330.5460,0.9230,400 North Springville,"28,934"
049-0470,0089PM,330.5460,332.4300,1.8840,SR 75 (Road to Ironton),"23,392"
049-0475,0089PM,332.4300,333.8200,1.3900,1860 South Provo,"26,618"
049-0477,0089PM,333.8200,334.1800,0.3600,900 East Provo,"13,850"
049-0480,0089PM,334.1800,334.8200,0.6400,700 East SR 89 turns West on 300 South,"16,551"
049-0485,0089PM,334.8200,335.2830,0.4630,SR 189 University Avenue via 300 South,"31,496"
049-0486,0089PM,335.2830,335.5650,0.2820,500 West SR 89 turns North,"19,805"
049-0490,0089PM,335.5650,336.2920,0.7270,SR 114 Center Street Provo via 500 West,"36,188"
049-0495,0089PM,336.2920,336.7300,0.4380,800 North Provo,"37,686"
049-0500,0089PM,336.7300,338.5570,1.8270,1230 North Provo via 500 West,"48,358"
049-0505,0089PM,338.5570,339.2130,0.6560,SR 265 BYU Diagonal/University Parkway Orem,"46,712"
049-0510,0089PM,339.2130,340.2810,1.0680,800 South Orem,"56,678"
049-0515,0089PM,340.2810,341.3490,1.0680,Center Street Orem via State Street,"52,891"
049-0520,0089PM,341.3490,342.4210,1.0720,SR 52 800 North Orem,"47,128"
049-0525,0089PM,342.4210,342.9970,0.5760,1600 North Orem,"45,921"
049-0530,0089PM,342.9970,343.9110,0.9140,2000 North Orem,"41,618"
049-0535,0089PM,343.9110,345.2700,1.3590,400 North Lindon,"34,080"
049-0540,0089PM,345.2700,347.0330,1.7630,SR 114 Main Street Pleasant Grove,"25,349"
049-0545,0089PM,347.0330,347.9290,0.8960,2000 West Pleasant Grove 1100 East American Fork,"28,040"
049-0551,0089PM,347.9290,348.5340,0.6050,SR 180 500 East American Fork,"33,897"
049-0555,0089PM,348.5340,349.3700,0.8360,SR 74 100 East American Fork,"26,986"
049-0560,0089PM,349.3700,349.8230,0.4530,SR 145 American Fork,"31,846"
049-0565,0089PM,349.8230,350.6040,0.7810,Pacific Drive Lehi,"29,272"
049-0566,0089PM,350.6040,351.8480,1.2440,SR 73 Lehi,"15,557"
049-0570,0089PM,351.8480,352.5060,0.6580,100 East Lehi,"14,232"
049-0571,0089PM,352.5060,353.2480,0.7420,500 West Lehi,"17,291"
049-0575,0089PM,353.2480,353.4142,0.1662,1870 North - Jct SR 194 Lehi,"16,389"
035-0490,0089PM,362.6407,363.8920,1.2513,SR 71 (12300 South) via State Street,"15,869"
035-0492,0089PM,363.8920,364.8950,1.0030,11400 South via State Street,"29,416"
035-0495,0089PM,364.8950,366.3950,1.5000,SR 151 10600 South,"34,169"
035-0500,0089PM,366.3950,366.9120,0.5170,9400 South,"24,099"
035-0505,0089PM,366.9120,367.3080,0.3960,SR 209 9000 South,"24,323"
035-0510,0089PM,367.3080,368.1370,0.8290,8680 South,"24,839"
035-0515,0089PM,368.1370,368.3930,0.2560,8000 South,"24,386"
035-0520,0089PM,368.3930,369.1700,0.7770,7800 South,"33,659"
035-0525,0089PM,369.1700,369.6660,0.4960,SR 48 7200 South,"30,419"
035-0530,0089PM,369.6660,369.9000,0.2340,Lester Ave (6790 South),"30,533"
035-0535,0089PM,369.9000,370.7010,0.8010,I 215 near 6400 South,"37,454"
035-0540,0089PM,370.7010,371.6040,0.9030,5900 South,"37,396"
035-0550,0089PM,371.6040,372.1750,0.5710,SR 173 5300 South,"31,257"
035-0551,0089PM,372.1750,372.3540,0.1790,Vine Street Murray,"39,991"
